A,B,V
536,113,1.0
536,393,1.0
536,536,1.0
537,537,1.0
538,54,1.0
538,61,1.0
538,538,1.0
539,316,1.0
539,539,1.0
540,284,1.0
540,505,1.0
540,540,1.0
541,208,1.0
541,234,1.0
541,541,1.0
542,542,1.0
543,543,1.0
544,200,1.0
544,544,1.0
545,267,1.0
545,545,1.0
546,32,1.0
546,465,1.0
546,546,1.0
547,273,1.0
547,283,1.0
547,345,1.0
547,453,1.0
547,463,1.0
547,547,1.0
